Data Source File,middle-names.txt
Memory Manager Type,First Fit
Total Memory Allocated by sbrk (bytes),16856
Size of freedMBList,1757
Size of allocMBList,950
Number of Times Blocks were Split,852
Number of Times Blocks were Merged,595
freedMBList:
Memory Block Address,Size,Content Starting Address,Contents
0x55b3630abc40,7,0x55b363070440,Kippar
0x55b3630abd40,7,0x55b363070460,Kipper
0x55b3630abf80,7,0x55b363070480,Kippie
0x55b3630ab940,6,0x55b3630704a0,Kippy
0x55b3630abe40,6,0x55b3630704c0,Kirby
0x55b3630ac040,5,0x55b363070520,Kirk
0x55b3630a3e00,4,0x55b363070540,Kit
0x55b3630ac400,6,0x55b3630705a0,Klaus
0x55b3630acf00,8,0x55b363070600,Klemens
0x55b3630ad080,8,0x55b363070660,Klement
0x55b3630ac4c0,6,0x55b3630706c0,Kleon
0x55b3630ad540,8,0x55b363070720,Kliment
0x55b3630ac580,5,0x55b363070780,Knox
0x55b3630ad880,9,0x55b3630707e0,Koenraad
0x55b3630acb40,7,0x55b363070800,Konrad
0x55b3630adb40,11,0x55b363070860,Konstantin
0x55b3630ae580,12,0x55b3630708c0,Konstantine
0x55b3630acac0,6,0x55b3630708e0,Korey
0x55b3630acbc0,5,0x55b363070900,Kort
0x55b3630acc40,5,0x55b363070920,Kory
0x55b3630acd40,5,0x55b363070980,Kris
0x55b3630adcc0,7,0x55b3630709a0,Krisha
0x55b363066940,8,0x55b3630709c0,Krishna
0x55b3630669e0,9,0x55b363070a20,Krishnah
0x55b363066be0,8,0x55b363070a80,Krispin
0x55b363066d60,9,0x55b363070ae0,Kristian
0x55b3630adfc0,7,0x55b363070b00,Kristo
0x55b363066fa0,10,0x55b363070b60,Kristofer
0x55b363067060,11,0x55b363070bc0,Kristoffer
0x55b363067120,10,0x55b363070c20,Kristofor
0x55b363067280,11,0x55b363070c80,Kristoforo
0x55b363067340,11,0x55b363070ce0,Kristopher
0x55b3630671e0,8,0x55b363070d40,Kristos
0x55b3630ad3c0,5,0x55b363070da0,Kurt
0x55b3630ae2c0,7,0x55b363070dc0,Kurtis
0x55b3630b1780,3,0x55b363070de0,Ky
0x55b3630ad740,5,0x55b363070e40,Kyle
0x55b3630ae1c0,6,0x55b363070e60,Kylie
0x55b3630ae840,6,0x55b363070e80,Laird
0x55b3630adac0,5,0x55b363070ea0,Lalo
0x55b3630aea00,6,0x55b363070ec0,Lamar
0x55b363067480,8,0x55b363070f20,Lambert
0x55b363067580,8,0x55b363070f80,Lammond
0x55b363066b40,7,0x55b363070fa0,Lamond
0x55b363066ea0,7,0x55b363070fc0,Lamont
0x55b363066ac0,6,0x55b363070fe0,Lance
0x55b363067760,9,0x55b363071040,Lancelot
0x55b3630678e0,5,0x55b3630710a0,Land
0x55b363067a00,5,0x55b363071100,Lane
0x55b363067c80,6,0x55b363071160,Laney
0x55b363067d80,9,0x55b363071180,Langsdon
0x55b363067ec0,9,0x55b3630711e0,Langston
0x55b363068100,6,0x55b363071240,Lanie
0x55b363068200,7,0x55b3630712a0,Lannie
0x55b363068280,6,0x55b3630712c0,Lanny
0x55b363068340,6,0x55b363071320,Larry
0x55b363067b40,5,0x55b363071340,Lars
0x55b363068440,9,0x55b3630713a0,Laughton
0x55b363068540,7,0x55b3630713c0,Launce
0x55b3630685c0,7,0x55b363071420,Lauren
0x55b3630687c0,9,0x55b363071480,Laurence
0x55b363068880,8,0x55b3630714e0,Laurens
0x55b363068a40,8,0x55b363071540,Laurent
0x55b363068740,7,0x55b363071560,Laurie
0x55b363068bc0,8,0x55b363071580,Lauritz
0x55b3630a67c0,4,0x55b3630715a0,Law
0x55b363068d40,9,0x55b363071600,Lawrence
0x55b363068b00,6,0x55b363071660,Lawry
0x55b363068cc0,7,0x55b3630716c0,Lawton
0x55b3630a7d40,4,0x55b3630716e0,Lay
0x55b363068ec0,7,0x55b363071740,Layton
0x55b363068c40,6,0x55b363071760,Lazar
0x55b363068f80,7,0x55b3630717c0,Lazare
0x55b3630690a0,7,0x55b3630717e0,Lazaro
0x55b363069120,8,0x55b363071840,Lazarus
0x55b3630a8480,4,0x55b363071860,Lee
0x55b363069380,8,0x55b363071880,Leeland
0x55b363069580,6,0x55b3630718a0,Lefty
0x55b363069900,10,0x55b363071900,Leicester
0x55b363067e40,5,0x55b363071920,Leif
0x55b363069600,6,0x55b363071940,Leigh
0x55b363069d00,9,0x55b3630719a0,Leighton
0x55b3630a9200,4,0x55b3630719c0,Lek
0x55b363069820,7,0x55b3630719e0,Leland
0x55b3630a98c0,4,0x55b363071a00,Lem
0x55b363069a00,6,0x55b363071a60,Lemar
0x55b363069ac0,7,0x55b363071a80,Lemmie
0x55b363069c00,6,0x55b363071ae0,Lemmy
0x55b363069ec0,7,0x55b363071b40,Lemuel
0x55b36306a000,7,0x55b363071ba0,Lenard
0x55b36306a100,6,0x55b363071c00,Lenci
0x55b36306a240,8,0x55b363071c60,Lennard
0x55b36306a340,7,0x55b363071cc0,Lennie
0x55b3630aad00,4,0x55b363071ce0,Leo
0x55b3630686c0,5,0x55b363071d00,Leon
0x55b36306a440,8,0x55b363071d60,Leonard
0x55b36306a500,9,0x55b363071dc0,Leonardo
0x55b36306a6c0,8,0x55b363071e20,Leonerd
0x55b36306a800,9,0x55b363071e80,Leonhard
0x55b36306a3c0,7,0x55b363071ea0,Leonid
0x55b36306a900,9,0x55b363071ec0,Leonidas
0x55b36306aa80,8,0x55b363071f20,Leopold
0x55b36306a600,6,0x55b363071f80,Leroi
0x55b36306a780,6,0x55b363071fe0,Leroy
0x55b363069f80,4,0x55b363072040,Les
0x55b36306abc0,7,0x55b3630720a0,Lesley
0x55b36306ac80,7,0x55b363072100,Leslie
0x55b36306ad80,7,0x55b363072160,Lester
0x55b36306aec0,8,0x55b3630721c0,Leupold
0x55b36306a980,4,0x55b363072220,Lev
0x55b36306aa00,6,0x55b363072240,Levey
0x55b36306af80,5,0x55b3630722a0,Levi
0x55b36306b060,6,0x55b363072300,Levin
0x55b36306b1c0,6,0x55b363072360,Levon
